"","ward","hfname","conf_u5_new","conf_a5_new","tested_u5_new","tested_a5_new","Wardname"
"113","kw Badari Ward","kw Eyitayo Clinic and Maternity, Oja Iya",1155,334,416,358,"Badari"
"114","kw Balogun Fulani 1 Ward","kw Balogun Fulani 1 Ward",8850,7960,51204,12852,"Balogun Fulani 1"
"115","kw Balogun Fulani 1 Ward","kw Centre Igboro Children Specialist Hospital",8850,7960,51204,12852,"Balogun Fulani 1"
"116","kw Balogun Fulani 2 Ward","kw Balogun Fulani 2 Ward",1718,410,142,472,"Balogun Fulani 2"
"117","kw Balogun Fulani 2 Ward","kw Balogun Fulani Health Center.",0,0,0,0,"Balogun Fulani 2"
"118","kw Balogun Fulani 2 Ward","kw Kosemani Hospital",1718,410,142,472,"Balogun Fulani 2"
"119","kw Balogun Fulani Ward 3","kw Balogun Fulani Ward 3",14,72,46,118,"Balogun Fulani 3"
"120","kw Balogun Fulani Ward 3","kw Isale Asa Primary Health Care Center.",0,0,0,0,"Balogun Fulani 3"
"121","kw Balogun Fulani Ward 3","kw Temitope Hospital",14,72,46,118,"Balogun Fulani 3"
"122","kw Balogun Fulani Ward 3","kw U.I.T.H Maternity Wing.",0,0,0,0,"Balogun Fulani 3"
"123","kw Gambari 1 Ward","kw Awodi Health Centre",755,210,328,4,"Gambari 1"
"124","kw Gambari 1 Ward","kw Balogun Gambari Health Centre",36,27,30,24,"Gambari 1"
"125","kw Gambari 1 Ward","kw Gambari 1 Ward",790,236,357,27,"Gambari 1"
"126","kw Gambari 2 Ward","Kw Abata Karuma Health Centre",481,134,201,30,"Gambari 2"
"127","kw Gambari 2 Ward","kw Ajibola Clinic",828,225,324,13,"Gambari 2"
"128","kw Gambari 2 Ward","kw Gambari 2 Ward",3316,717,1162,35,"Gambari 2"
"129","kw Gambari 2 Ward","kw Jafmedge Clinic and Maternity",0,0,2,0,"Gambari 2"
"130","kw Gambari 2 Ward","kw Ojagboro Primary Health Care Centre",2043,399,716,33,"Gambari 2"
"131","kw Ibagun Ward","Kw Alafia Tayo Hospital",217,70,150,25,"Ibagun"
"132","kw Ibagun Ward","kw Akanji Memorial Hospital",40,16,33,9,"Ibagun"
"133","kw Ibagun Ward","kw Alimayaki Health Centre",1155,232,303,37,"Ibagun"
"134","kw Ibagun Ward","kw Ayodeji Clinic & Maternity",0,0,0,0,"Ibagun"
"135","kw Ibagun Ward","kw Dada Community Health Care Centre",0,0,0,0,"Ibagun"
"136","kw Ibagun Ward","kw Fatimoh Memorial Clinic",663,154,356,31,"Ibagun"
"137","kw Ibagun Ward","kw Ibagun Ward",11010,3240,4170,39,"Ibagun"
"138","kw Ibagun Ward","kw Okelele Primary Health Centre",5886,1631,2221,34,"Ibagun"
"139","kw Ibagun Ward","kw Oluwakemi Clinic and Maternity",287,88,155,0,"Ibagun"
"140","kw Ibagun Ward","kw Omowumi Clinic & Maternity",224,65,142,13,"Ibagun"
"141","kw Ibagun Ward","kw Sobi-Medical Centre",2630,1112,1036,22,"Ibagun"
"142","kw Ilorin East Local Government Area Cold Store","kw Ilorin East Local Government Area Cold Store",0,0,0,0,"Ilorin East Local Government Area Cold Store"
"143","kw Ilorin South Local Government Area Cold Store","kw Ilorin South Local Government Area Cold Store",0,0,0,0,"Ilorin South Local Government Area Cold Store"
"144","kw Ilorin West Local Government Area Cold Store","kw Ilorin West Local Government Area Cold Store",0,0,0,0,"Ilorin West Local Government Area Cold Store"
"145","kw Iponrin Ward","kw Iponrin Comprehensive Health Centre",563,165,222,24,"Iponrin"
"146","kw Iponrin Ward","kw Iponrin Dispensary and Maternity",1472,534,734,35,"Iponrin"
"147","kw Iponrin Ward","kw Iponrin Ward",2017,676,921,36,"Iponrin"
"148","kw Magaji Geri Ward","kw Ago Market Health Clinic",2107,1038,812,1938,"M/Ngeri"
"149","kw Magaji Geri Ward","kw Emir's Palace Health Clinic",2451,820,1324,3598,"M/Ngeri"
"150","kw Magaji Geri Ward","kw General Hospital Ilorin",221,244,626,1130,"M/Ngeri"
"151","kw Magaji Geri Ward","kw Magaji Geri Ward",5091,2330,2907,7158,"M/Ngeri"
"152","kw Magaji Geri Ward","kw Magajigeri Health Centre",287,208,164,492,"M/Ngeri"
"153","kw Magaji Geri Ward","kw MaxiHealth Hospital Ilorin",0,0,0,0,"M/Ngeri"
"154","kw Magaji Geri Ward","kw Omolara Clinic and Maternity",52,20,23,0,"M/Ngeri"
"155","kw Marafa/Pepete Ward","kw Ayinla Clinic & Maternity",0,0,0,0,"Marafa/Pepele"
"156","kw Marafa/Pepete Ward","kw Eleshinmeta Health Centre",333,121,204,33,"Marafa/Pepele"
"157","kw Marafa/Pepete Ward","kw Lajiki Health Centre",0,0,0,0,"Marafa/Pepele"
"158","kw Marafa/Pepete Ward","kw Marafa Health Centre",2195,949,1247,36,"Marafa/Pepele"
"159","kw Marafa/Pepete Ward","kw Marafa/Pepete Ward",2570,1079,1446,36,"Marafa/Pepele"
"160","kw Marafa/Pepete Ward","kw Okaka Health Centre",55,35,38,0,"Marafa/Pepele"
"161","kw Marafa/Pepete Ward","kw Pepele Health Post",18,7,13,0,"Marafa/Pepele"
"162","kw Maya/Ile Apa Ward","kw Abanta Health Post",554,174,267,27,"Maya/Ileapa"
"163","kw Maya/Ile Apa Ward","kw Abiamo Clinic & Maternity",0,0,0,0,"Maya/Ileapa"
"164","kw Maya/Ile Apa Ward","kw Al-Iradat Hospital",0,0,0,0,"Maya/Ileapa"
"165","kw Maya/Ile Apa Ward","kw Budo-Are Health Centre",226,89,115,35,"Maya/Ileapa"
"166","kw Maya/Ile Apa Ward","kw Ile Apa Health Centre",609,170,298,29,"Maya/Ileapa"
"167","kw Maya/Ile Apa Ward","kw Maya/Ile Apa Ward",3472,553,857,37,"Maya/Ileapa"
"168","kw Maya/Ile Apa Ward","kw Ore-lope Hospital",0,0,0,0,"Maya/Ileapa"
"169","kw Maya/Ile Apa Ward","kw Temidayo Clinic and Maternity",17,4,16,0,"Maya/Ileapa"
"170","kw Maya/Ile Apa Ward","kw University of Ilorin Teaching Hospital",2103,172,228,2,"Maya/Ileapa"
"171","kw Ogidi Ward","kw Ogidi Ward",1321,938,861,1228,"Ogidi"
"172","kw Ogidi Ward","kw Ogidi/ Banni Basic Health Centre (Ilorin West)",1321,938,861,1228,"Ogidi"
"173","kw Ojuekun/Zarumi Ward","kw Oju-Ekun Health Centre",2532,1128,763,1660,"Oju-Ekun"
"174","kw Ojuekun/Zarumi Ward","kw Ojuekun/Zarumi Ward",5309,2956,2240,3052,"Oju-Ekun"
"175","kw Ojuekun/Zarumi Ward","kw Olaotan Clinic and Maternity",32,0,86,154,"Oju-Ekun"
"176","kw Ojuekun/Zarumi Ward","kw Olorunlambe Clinic And Maternity",865,300,335,90,"Oju-Ekun"
"177","kw Ojuekun/Zarumi Ward","kw Opeyemi Clinic & Maternity",0,0,0,0,"Oju-Ekun"
"178","kw Ojuekun/Zarumi Ward","kw Zarumi Health Centre",1868,1512,1141,1148,"Oju-Ekun"
"179","kw Okaka 1 Ward","kw Doctors clinic",1214,1862,206,486,"Okaka 1"
"180","kw Okaka 1 Ward","kw Magaji Okaka Primary Health Care Center.",0,0,0,0,"Okaka 1"
"181","kw Okaka 1 Ward","kw Okaka 1 Ward",1214,1862,206,486,"Okaka 1"
"182","kw Okaka 2 Ward","kw Bawa Clinic",38,144,34,76,"Okaka 2"
"183","kw Okaka 2 Ward","kw Okaka 2 Ward",48,194,54,162,"Okaka 2"
"184","kw Okaka 2 Ward","kw Sadiku Hospital",12,50,20,86,"Okaka 2"
"185","kw Oke Ogun Ward","kw Awoli Cottage Hospital",288,164,62,502,"Oka-Ogun"
"186","kw Oke Ogun Ward","kw Oke Ogun Edun Primary Health Care Center.",1670,440,362,1830,"Oka-Ogun"
"187","kw Oke Ogun Ward","kw Oke Ogun Ward",5226,3060,872,8152,"Oka-Ogun"
"188","kw Oke Ogun Ward","kw Olufadi Primary Health Care Center.",3324,2456,554,5820,"Oka-Ogun"
"189","kw Oke Oyi/Oke Ose  Ward","kw AIC Medical Limited",0,0,0,0,"Oke Oyi/Oke-Ose/Alalubosa"
"190","kw Oke Oyi/Oke Ose  Ward","kw Aiyetoro Oja Health Centre",1444,340,516,34,"Oke Oyi/Oke-Ose/Alalubosa"
"191","kw Oke Oyi/Oke Ose  Ward","kw Ajibola-Alade Clinic& Materinty",0,0,0,0,"Oke Oyi/Oke-Ose/Alalubosa"
"192","kw Oke Oyi/Oke Ose  Ward","kw Alalubosa Health Centre",92,38,49,12,"Oke Oyi/Oke-Ose/Alalubosa"
"193","kw Oke Oyi/Oke Ose  Ward","kw Ariyibi Health Post",177,49,84,18,"Oke Oyi/Oke-Ose/Alalubosa"
"194","kw Oke Oyi/Oke Ose  Ward","kw Ikoli Clinic Oke Ose",257,101,193,31,"Oke Oyi/Oke-Ose/Alalubosa"
"195","kw Oke Oyi/Oke Ose  Ward","kw Oke Ose Model Primary Health Centre",1178,373,528,33,"Oke Oyi/Oke-Ose/Alalubosa"
"196","kw Oke Oyi/Oke Ose  Ward","kw Oke Oyi Basic Health Clinic",1365,435,614,33,"Oke Oyi/Oke-Ose/Alalubosa"
"197","kw Oke Oyi/Oke Ose  Ward","kw Oke Oyi Dispensary And Maternity",1512,660,855,35,"Oke Oyi/Oke-Ose/Alalubosa"
"198","kw Oke Oyi/Oke Ose  Ward","kw Oke Oyi/Oke Ose  Ward",5888,1839,2560,37,"Oke Oyi/Oke-Ose/Alalubosa"
"199","kw Oke Oyi/Oke Ose  Ward","kw Oluwa Folaseyi Clinic & Maternity",0,0,0,0,"Oke Oyi/Oke-Ose/Alalubosa"
"200","kw Oko Erin Ward","kw Asadam Clinic and Maternity",928,446,404,126,"Oko-Erin"
"201","kw Oko Erin Ward","kw Ayeitoro Health Centre",1044,408,532,1174,"Oko-Erin"
"202","kw Oko Erin Ward","kw Ayodele Medical Centre",1484,218,293,236,"Oko-Erin"
"203","kw Oko Erin Ward","kw Duromedics  Hospital",0,0,0,0,"Oko-Erin"
"204","kw Oko Erin Ward","kw Ekundayo Clinic and Maternity",429,146,208,80,"Oko-Erin"
"205","kw Oko Erin Ward","kw Geri Alimi Hospital",0,0,0,0,"Oko-Erin"
"206","kw Oko Erin Ward","kw Hassanat Memorial Hospital",240,52,60,0,"Oko-Erin"
"207","kw Oko Erin Ward","kw Odookun Health Centre",1172,362,473,828,"Oko-Erin"
"208","kw Oko Erin Ward","kw Oko Erin Health Centre",3694,1646,1545,3340,"Oko-Erin"
"209","kw Oko Erin Ward","kw Oko Erin Ward",13885,4274,4483,6588,"Oko-Erin"
"210","kw Oko Erin Ward","kw Olalomi Hospital",3181,478,582,360,"Oko-Erin"
"211","kw Oko Erin Ward","kw Oyebanji Hospital",1238,392,417,154,"Oko-Erin"
"212","kw Oko Erin Ward","kw Tobi Hospital",564,126,261,290,"Oko-Erin"
"213","kw Oloje Ward","kw 303 M A G  Medical Centre",0,0,0,0,"Oloje"
"214","kw Oloje Ward","kw Ayo Clinic and Maternity, Oloje",732,316,560,846,"Oloje"
"215","kw Oloje Ward","kw Ilorin Clinic and Maternity, Oloje",1220,640,847,924,"Oloje"
"216","kw Oloje Ward","kw Oloje Basic Health Centre",0,0,0,0,"Oloje"
"217","kw Oloje Ward","kw Oloje Ward",2068,970,1769,2880,"Oloje"
"218","kw Oloje Ward","kw Temidayo Hospital",0,0,0,0,"Oloje"
"219","kw Oloje Ward","kw Zakary Memorial Hospital",134,14,380,1110,"Oloje"
"220","kw Ubandawaki Ward","kw Olupelu Clinic and Maternity",1094,486,653,468,"Ubandawaki"
"221","kw Ubandawaki Ward","kw Pakata Health Centre",5659,2820,3195,4284,"Ubandawaki"
"222","kw Ubandawaki Ward","kw Ubandawaki Ward",6745,3306,3811,4752,"Ubandawaki"
"223","kw Wara/Osin/Egbejila Ward","kw Akorede Clinic & Maternity",0,0,0,0,"Wara/Osin/Egbejila"
"224","kw Wara/Osin/Egbejila Ward","kw Egbejila Health Centre",1098,448,648,1090,"Wara/Osin/Egbejila"
"225","kw Wara/Osin/Egbejila Ward","kw Offa-garage Health Centre",903,384,761,888,"Wara/Osin/Egbejila"
"226","kw Wara/Osin/Egbejila Ward","kw Ogundele Health Centre",1410,830,812,608,"Wara/Osin/Egbejila"
"227","kw Wara/Osin/Egbejila Ward","kw Omolewa Hospital & Maternity",0,0,0,0,"Wara/Osin/Egbejila"
"228","kw Wara/Osin/Egbejila Ward","kw Osin / Aremu Health Centre",1795,722,869,912,"Wara/Osin/Egbejila"
"229","kw Wara/Osin/Egbejila Ward","kw Staff Clinic",832,102,85,664,"Wara/Osin/Egbejila"
"230","kw Wara/Osin/Egbejila Ward","kw Wara Health Centre",600,158,288,494,"Wara/Osin/Egbejila"
"231","kw Wara/Osin/Egbejila Ward","kw Wara/Osin/Egbejila Ward",6549,2644,3302,4656,"Wara/Osin/Egbejila"
"232","kw Zango Ward","kw Okesuna Health Centre",2212,452,747,34,"Zango 1"
"233","kw Zango Ward","kw Omolola Hospital",391,123,190,50,"Zango 1"
"234","kw Zango Ward","kw Ore-Ofe Clinic",1401,418,438,17,"Zango 1"
"235","kw Zango Ward","kw Tosho Clinic and Maternaity",283,119,182,30,"Zango 1"
"236","kw Zango Ward","kw Zango Ward",4270,1075,1499,57,"Zango 1"
